Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 9 6 10 5 8 10
Vardas2 Pavarde2 10 1 6 10 8 8
Vardas3 Pavarde3 10 5 4 9 4 8
Vardas4 Pavarde4 5 3 4 3 4 2
Vardas5 Pavarde5 4 3 10 4 2 8
Vardas6 Pavarde6 5 5 9 7 2 10
Vardas7 Pavarde7 6 3 2 6 5 4
Vardas8 Pavarde8 1 2 6 8 10 4
Vardas9 Pavarde9 7 5 5 6 1 7
Vardas10 Pavarde10 9 6 5 7 1 4
Vardas11 Pavarde11 7 1 6 1 4 2
Vardas12 Pavarde12 3 5 3 2 10 1
Vardas13 Pavarde13 3 8 1 7 2 6
Vardas14 Pavarde14 9 8 8 5 2 6
Vardas15 Pavarde15 5 1 10 6 4 5
Vardas16 Pavarde16 7 4 1 3 9 9
Vardas17 Pavarde17 1 6 9 5 6 8
Vardas18 Pavarde18 2 9 3 8 3 9
Vardas19 Pavarde19 6 2 6 9 1 5
Vardas20 Pavarde20 6 4 1 1 2 1
Vardas21 Pavarde21 2 1 10 8 9 7
Vardas22 Pavarde22 4 2 3 8 8 6
Vardas23 Pavarde23 2 10 9 2 8 7
Vardas24 Pavarde24 3 6 3 3 2 10
Vardas25 Pavarde25 6 3 4 5 9 3
Vardas26 Pavarde26 4 3 6 10 2 8
Vardas27 Pavarde27 7 8 5 9 4 5
Vardas28 Pavarde28 10 9 2 10 5 10
Vardas29 Pavarde29 6 4 4 2 7 8
Vardas30 Pavarde30 4 9 10 3 8 6
Vardas31 Pavarde31 2 5 2 7 7 9
Vardas32 Pavarde32 10 6 1 8 10 7
Vardas33 Pavarde33 2 5 4 2 6 3
Vardas34 Pavarde34 9 8 4 5 3 2
Vardas35 Pavarde35 6 6 4 1 3 3
Vardas36 Pavarde36 1 7 5 9 2 5
Vardas37 Pavarde37 4 5 10 9 8 5
Vardas38 Pavarde38 6 10 2 7 1 2
Vardas39 Pavarde39 3 7 7 6 6 7
Vardas40 Pavarde40 9 4 7 6 4 4
Vardas41 Pavarde41 5 6 6 3 4 9
