Name Surname ND1 ND2 ND3 ND4 ND5 Exam
Vardas1 Pavarde1 6 2 7 9 8 5
Vardas2 Pavarde2 7 1 9 7 1 9
Vardas3 Pavarde3 6 5 10 6 2 9
Vardas4 Pavarde4 2 10 8 9 5 9
Vardas5 Pavarde5 2 7 5 4 6 3
Vardas6 Pavarde6 3 10 2 1 8 1
Vardas7 Pavarde7 2 10 7 2 1 8
Vardas8 Pavarde8 3 2 5 6 8 6
Vardas9 Pavarde9 2 9 1 4 9 5
Vardas10 Pavarde10 9 7 7 4 2 7
Vardas11 Pavarde11 5 9 10 7 6 2
Vardas12 Pavarde12 9 9 1 2 6 1
Vardas13 Pavarde13 3 10 10 7 2 9
Vardas14 Pavarde14 6 5 7 1 2 6
Vardas15 Pavarde15 7 8 4 9 3 4
Vardas16 Pavarde16 5 10 9 7 2 10
Vardas17 Pavarde17 4 9 9 6 9 5
Vardas18 Pavarde18 2 8 6 6 5 8
Vardas19 Pavarde19 1 1 1 9 5 7
Vardas20 Pavarde20 6 10 9 8 2 5
Vardas21 Pavarde21 2 4 5 7 9 8
Vardas22 Pavarde22 4 7 3 7 9 2
Vardas23 Pavarde23 1 8 5 9 8 9
Vardas24 Pavarde24 9 5 4 7 1 3
Vardas25 Pavarde25 8 5 3 3 10 3
Vardas26 Pavarde26 2 2 3 7 7 4
Vardas27 Pavarde27 10 4 8 6 10 7
Vardas28 Pavarde28 10 5 2 6 2 1
Vardas29 Pavarde29 3 10 6 2 4 2
Vardas30 Pavarde30 10 5 4 10 9 4
Vardas31 Pavarde31 9 3 5 7 1 9
Vardas32 Pavarde32 3 1 4 2 2 4
Vardas33 Pavarde33 8 7 3 1 4 8
Vardas34 Pavarde34 3 10 4 3 8 4
Vardas35 Pavarde35 8 8 3 8 9 8
Vardas36 Pavarde36 3 2 9 1 4 9
Vardas37 Pavarde37 4 1 7 9 7 5
Vardas38 Pavarde38 7 3 1 6 8 1
Vardas39 Pavarde39 6 9 10 2 4 3
Vardas40 Pavarde40 7 6 1 5 3 2
Vardas41 Pavarde41 4 2 2 3 6 9
Vardas42 Pavarde42 7 5 9 4 3 1
