Name              Surname                   Final(Avg)      Final(Med)
Vardas1283        Pavarde1283                     5.00            4.60
Vardas1319        Pavarde1319                     5.00            4.60
Vardas1424        Pavarde1424                     5.00            5.00
Vardas1523        Pavarde1523                     5.00            4.60
Vardas1678        Pavarde1678                     5.00            5.80
Vardas2074        Pavarde2074                     5.00            4.60
Vardas2231        Pavarde2231                     5.00            5.40
Vardas2247        Pavarde2247                     5.00            4.60
Vardas2268        Pavarde2268                     5.00            5.40
Vardas2301        Pavarde2301                     5.00            5.40
Vardas240         Pavarde240                      5.00            5.40
Vardas2471        Pavarde2471                     5.00            5.00
Vardas2679        Pavarde2679                     5.00            4.60
Vardas3250        Pavarde3250                     5.00            5.80
Vardas3375        Pavarde3375                     5.00            5.80
Vardas3445        Pavarde3445                     5.00            5.40
Vardas3451        Pavarde3451                     5.00            5.40
Vardas3470        Pavarde3470                     5.00            5.00
Vardas3547        Pavarde3547                     5.00            5.40
Vardas3601        Pavarde3601                     5.00            5.40
Vardas3760        Pavarde3760                     5.00            4.60
Vardas3899        Pavarde3899                     5.00            4.60
Vardas3979        Pavarde3979                     5.00            5.00
Vardas3987        Pavarde3987                     5.00            4.60
Vardas4123        Pavarde4123                     5.00            5.00
Vardas4351        Pavarde4351                     5.00            4.60
Vardas4365        Pavarde4365                     5.00            4.60
Vardas4413        Pavarde4413                     5.00            4.60
Vardas4629        Pavarde4629                     5.00            4.60
Vardas4900        Pavarde4900                     5.00            5.00
Vardas4903        Pavarde4903                     5.00            5.00
Vardas4993        Pavarde4993                     5.00            5.40
Vardas5128        Pavarde5128                     5.00            5.00
Vardas5135        Pavarde5135                     5.00            5.00
Vardas5152        Pavarde5152                     5.00            5.00
Vardas5159        Pavarde5159                     5.00            5.40
Vardas5212        Pavarde5212                     5.00            5.40
Vardas5239        Pavarde5239                     5.00            5.00
Vardas5293        Pavarde5293                     5.00            5.40
Vardas5440        Pavarde5440                     5.00            5.80
Vardas5799        Pavarde5799                     5.00            4.60
Vardas5840        Pavarde5840                     5.00            3.80
Vardas5954        Pavarde5954                     5.00            5.00
Vardas6002        Pavarde6002                     5.00            5.00
Vardas6238        Pavarde6238                     5.00            4.60
Vardas628         Pavarde628                      5.00            5.40
Vardas6431        Pavarde6431                     5.00            4.60
Vardas665         Pavarde665                      5.00            4.60
Vardas6723        Pavarde6723                     5.00            4.60
Vardas6787        Pavarde6787                     5.00            5.40
Vardas6815        Pavarde6815                     5.00            5.00
Vardas6908        Pavarde6908                     5.00            5.40
Vardas7062        Pavarde7062                     5.00            5.40
Vardas7571        Pavarde7571                     5.00            5.00
Vardas7673        Pavarde7673                     5.00            5.00
Vardas7911        Pavarde7911                     5.00            5.00
Vardas794         Pavarde794                      5.00            5.40
Vardas7995        Pavarde7995                     5.00            4.20
Vardas7999        Pavarde7999                     5.00            5.40
Vardas8000        Pavarde8000                     5.00            5.00
Vardas8050        Pavarde8050                     5.00            5.00
Vardas856         Pavarde856                      5.00            5.40
Vardas8619        Pavarde8619                     5.00            5.40
Vardas8660        Pavarde8660                     5.00            4.60
Vardas8768        Pavarde8768                     5.00            5.00
Vardas8799        Pavarde8799                     5.00            5.00
Vardas8825        Pavarde8825                     5.00            4.60
Vardas8876        Pavarde8876                     5.00            4.60
Vardas8948        Pavarde8948                     5.00            5.00
Vardas9           Pavarde9                        5.00            4.60
Vardas9175        Pavarde9175                     5.00            5.00
Vardas924         Pavarde924                      5.00            4.60
Vardas9286        Pavarde9286                     5.00            5.40
Vardas9342        Pavarde9342                     5.00            4.60
Vardas9525        Pavarde9525                     5.00            5.00
Vardas1081        Pavarde1081                     5.04            5.60
Vardas1195        Pavarde1195                     5.04            6.00
Vardas1242        Pavarde1242                     5.04            4.80
Vardas1333        Pavarde1333                     5.04            5.20
Vardas1490        Pavarde1490                     5.04            5.60
Vardas1535        Pavarde1535                     5.04            5.60
Vardas1556        Pavarde1556                     5.04            4.40
Vardas1728        Pavarde1728                     5.04            5.20
Vardas1787        Pavarde1787                     5.04            6.00
Vardas1788        Pavarde1788                     5.04            5.20
Vardas1957        Pavarde1957                     5.04            5.60
Vardas2193        Pavarde2193                     5.04            6.00
Vardas2214        Pavarde2214                     5.04            5.60
Vardas2264        Pavarde2264                     5.04            4.80
Vardas2279        Pavarde2279                     5.04            5.20
Vardas2415        Pavarde2415                     5.04            4.80
Vardas2463        Pavarde2463                     5.04            4.80
Vardas2770        Pavarde2770                     5.04            5.20
Vardas2771        Pavarde2771                     5.04            5.20
Vardas2873        Pavarde2873                     5.04            4.80
Vardas3017        Pavarde3017                     5.04            5.20
Vardas3064        Pavarde3064                     5.04            4.40
Vardas3094        Pavarde3094                     5.04            4.80
Vardas315         Pavarde315                      5.04            5.20
Vardas341         Pavarde341                      5.04            4.40
Vardas3506        Pavarde3506                     5.04            5.60
Vardas3706        Pavarde3706                     5.04            4.40
Vardas3744        Pavarde3744                     5.04            5.20
Vardas375         Pavarde375                      5.04            5.20
Vardas3780        Pavarde3780                     5.04            4.80
Vardas3822        Pavarde3822                     5.04            5.20
Vardas3838        Pavarde3838                     5.04            5.20
Vardas3911        Pavarde3911                     5.04            5.20
Vardas3984        Pavarde3984                     5.04            4.80
Vardas4001        Pavarde4001                     5.04            4.40
Vardas4029        Pavarde4029                     5.04            4.80
Vardas4082        Pavarde4082                     5.04            4.40
Vardas4108        Pavarde4108                     5.04            5.20
Vardas4146        Pavarde4146                     5.04            4.40
Vardas4226        Pavarde4226                     5.04            6.00
Vardas4268        Pavarde4268                     5.04            5.20
Vardas436         Pavarde436                      5.04            4.80
Vardas4421        Pavarde4421                     5.04            5.20
Vardas4678        Pavarde4678                     5.04            5.20
Vardas471         Pavarde471                      5.04            5.20
Vardas4753        Pavarde4753                     5.04            4.80
Vardas4819        Pavarde4819                     5.04            5.20
Vardas4835        Pavarde4835                     5.04            4.80
Vardas5093        Pavarde5093                     5.04            5.20
Vardas5237        Pavarde5237                     5.04            5.60
Vardas5413        Pavarde5413                     5.04            5.60
Vardas5542        Pavarde5542                     5.04            4.40
Vardas5694        Pavarde5694                     5.04            5.20
Vardas5985        Pavarde5985                     5.04            4.80
Vardas6154        Pavarde6154                     5.04            5.20
Vardas6224        Pavarde6224                     5.04            5.20
Vardas646         Pavarde646                      5.04            6.00
Vardas6685        Pavarde6685                     5.04            5.20
Vardas6727        Pavarde6727                     5.04            4.80
Vardas6847        Pavarde6847                     5.04            5.60
Vardas7005        Pavarde7005                     5.04            4.40
Vardas7092        Pavarde7092                     5.04            5.20
Vardas7203        Pavarde7203                     5.04            4.80
Vardas725         Pavarde725                      5.04            4.80
Vardas7399        Pavarde7399                     5.04            4.80
Vardas7426        Pavarde7426                     5.04            5.60
Vardas7493        Pavarde7493                     5.04            5.20
Vardas7531        Pavarde7531                     5.04            4.80
Vardas7569        Pavarde7569                     5.04            4.80
Vardas7594        Pavarde7594                     5.04            4.80
Vardas7603        Pavarde7603                     5.04            6.00
Vardas7639        Pavarde7639                     5.04            5.20
Vardas8042        Pavarde8042                     5.04            4.80
Vardas834         Pavarde834                      5.04            4.40
Vardas8407        Pavarde8407                     5.04            5.20
Vardas8520        Pavarde8520                     5.04            4.80
Vardas8595        Pavarde8595                     5.04            5.20
Vardas8757        Pavarde8757                     5.04            5.60
Vardas8971        Pavarde8971                     5.04            5.20
Vardas9180        Pavarde9180                     5.04            6.00
Vardas9308        Pavarde9308                     5.04            4.80
Vardas9425        Pavarde9425                     5.04            5.60
Vardas9721        Pavarde9721                     5.04            4.80
Vardas980         Pavarde980                      5.04            4.80
Vardas9914        Pavarde9914                     5.04            4.80
Vardas9979        Pavarde9979                     5.04            5.20
Vardas1257        Pavarde1257                     5.08            5.00
Vardas1397        Pavarde1397                     5.08            4.60
Vardas1400        Pavarde1400                     5.08            4.20
Vardas1555        Pavarde1555                     5.08            4.20
Vardas1584        Pavarde1584                     5.08            4.60
Vardas1662        Pavarde1662                     5.08            5.00
Vardas1987        Pavarde1987                     5.08            5.40
Vardas2046        Pavarde2046                     5.08            5.40
Vardas2126        Pavarde2126                     5.08            5.40
Vardas2346        Pavarde2346                     5.08            4.20
Vardas2615        Pavarde2615                     5.08            5.40
Vardas2901        Pavarde2901                     5.08            5.40
Vardas2902        Pavarde2902                     5.08            5.40
Vardas2917        Pavarde2917                     5.08            5.40
Vardas3081        Pavarde3081                     5.08            5.00
Vardas3495        Pavarde3495                     5.08            5.00
Vardas3638        Pavarde3638                     5.08            5.40
Vardas3654        Pavarde3654                     5.08            4.60
Vardas3992        Pavarde3992                     5.08            5.00
Vardas4174        Pavarde4174                     5.08            5.40
Vardas430         Pavarde430                      5.08            5.00
Vardas4352        Pavarde4352                     5.08            5.40
Vardas4459        Pavarde4459                     5.08            5.00
Vardas4496        Pavarde4496                     5.08            4.60
Vardas4517        Pavarde4517                     5.08            5.00
Vardas4566        Pavarde4566                     5.08            5.40
Vardas4641        Pavarde4641                     5.08            5.00
Vardas4690        Pavarde4690                     5.08            5.40
Vardas4885        Pavarde4885                     5.08            4.60
Vardas4910        Pavarde4910                     5.08            5.40
Vardas497         Pavarde497                      5.08            5.40
Vardas499         Pavarde499                      5.08            5.00
Vardas4994        Pavarde4994                     5.08            4.60
Vardas5178        Pavarde5178                     5.08            5.00
Vardas5207        Pavarde5207                     5.08            5.00
