Name              Surname                   Final(Avg)      Final(Med)
Vardas3570        Pavarde3570                     1.16            1.00
Vardas2624        Pavarde2624                     1.40            1.40
Vardas9778        Pavarde9778                     1.40            1.00
Vardas5168        Pavarde5168                     1.48            1.40
Vardas1573        Pavarde1573                     1.56            1.40
Vardas5407        Pavarde5407                     1.56            1.40
Vardas1456        Pavarde1456                     1.64            1.40
Vardas3817        Pavarde3817                     1.64            1.40
Vardas9108        Pavarde9108                     1.64            1.40
Vardas9771        Pavarde9771                     1.64            1.40
Vardas1426        Pavarde1426                     1.72            1.40
Vardas2762        Pavarde2762                     1.72            1.40
Vardas364         Pavarde364                      1.72            1.00
Vardas3868        Pavarde3868                     1.72            1.40
Vardas391         Pavarde391                      1.72            1.80
Vardas5308        Pavarde5308                     1.72            1.80
Vardas5324        Pavarde5324                     1.72            1.80
Vardas6589        Pavarde6589                     1.72            1.40
Vardas669         Pavarde669                      1.72            1.80
Vardas7217        Pavarde7217                     1.72            1.40
Vardas8096        Pavarde8096                     1.72            1.40
Vardas1422        Pavarde1422                     1.80            1.40
Vardas353         Pavarde353                      1.80            1.40
Vardas3836        Pavarde3836                     1.80            1.40
Vardas6650        Pavarde6650                     1.80            2.20
Vardas7808        Pavarde7808                     1.80            1.40
Vardas7839        Pavarde7839                     1.80            1.40
Vardas9653        Pavarde9653                     1.80            1.40
Vardas9882        Pavarde9882                     1.80            1.40
Vardas2282        Pavarde2282                     1.84            1.60
Vardas151         Pavarde151                      1.88            1.40
Vardas1886        Pavarde1886                     1.88            1.40
Vardas2497        Pavarde2497                     1.88            1.80
Vardas3645        Pavarde3645                     1.88            1.80
Vardas5753        Pavarde5753                     1.88            1.80
Vardas6638        Pavarde6638                     1.88            1.40
Vardas7276        Pavarde7276                     1.88            1.80
Vardas8208        Pavarde8208                     1.88            2.20
Vardas8945        Pavarde8945                     1.88            1.80
Vardas8999        Pavarde8999                     1.88            1.40
Vardas9164        Pavarde9164                     1.88            1.40
Vardas9568        Pavarde9568                     1.88            1.40
Vardas3790        Pavarde3790                     1.92            2.00
Vardas1308        Pavarde1308                     1.96            1.80
Vardas2170        Pavarde2170                     1.96            1.40
Vardas2752        Pavarde2752                     1.96            1.40
Vardas5281        Pavarde5281                     1.96            1.80
Vardas5346        Pavarde5346                     1.96            1.40
Vardas552         Pavarde552                      1.96            2.20
Vardas5909        Pavarde5909                     1.96            1.40
Vardas6383        Pavarde6383                     1.96            1.40
Vardas7156        Pavarde7156                     1.96            1.40
Vardas7886        Pavarde7886                     1.96            1.40
Vardas8611        Pavarde8611                     1.96            1.80
Vardas8817        Pavarde8817                     1.96            1.40
Vardas8908        Pavarde8908                     1.96            1.80
Vardas9355        Pavarde9355                     1.96            1.80
Vardas9444        Pavarde9444                     1.96            1.80
Vardas9620        Pavarde9620                     2.00            1.60
Vardas1810        Pavarde1810                     2.04            2.60
Vardas2217        Pavarde2217                     2.04            1.40
Vardas273         Pavarde273                      2.04            1.80
Vardas3070        Pavarde3070                     2.04            2.20
Vardas3335        Pavarde3335                     2.04            1.80
Vardas3517        Pavarde3517                     2.04            1.40
Vardas3596        Pavarde3596                     2.04            1.80
Vardas4137        Pavarde4137                     2.04            1.80
Vardas4230        Pavarde4230                     2.04            1.40
Vardas4588        Pavarde4588                     2.04            1.80
Vardas4967        Pavarde4967                     2.04            2.20
Vardas5361        Pavarde5361                     2.04            1.00
Vardas5389        Pavarde5389                     2.04            1.80
Vardas5511        Pavarde5511                     2.04            1.80
Vardas6536        Pavarde6536                     2.04            1.80
Vardas7854        Pavarde7854                     2.04            1.40
Vardas8128        Pavarde8128                     2.04            1.80
Vardas8248        Pavarde8248                     2.04            1.80
Vardas8417        Pavarde8417                     2.04            1.80
Vardas8877        Pavarde8877                     2.04            2.20
