Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas99          Pavarde99                       5.04            5.60
Vardas47          Pavarde47                       5.12            4.40
Vardas84          Pavarde84                       5.20            5.20
Vardas40          Pavarde40                       5.28            6.00
Vardas67          Pavarde67                       5.44            5.60
Vardas36          Pavarde36                       5.52            6.00
Vardas1           Pavarde1                        5.64            5.00
Vardas66          Pavarde66                       5.68            5.60
Vardas10          Pavarde10                       5.76            6.00
Vardas26          Pavarde26                       5.76            5.60
Vardas24          Pavarde24                       5.80            6.20
Vardas78          Pavarde78                       5.84            6.00
Vardas19          Pavarde19                       5.88            7.00
Vardas100         Pavarde100                      5.96            5.40
Vardas95          Pavarde95                       6.04            5.80
Vardas77          Pavarde77                       6.12            6.20
Vardas81          Pavarde81                       6.12            6.20
Vardas54          Pavarde54                       6.32            6.80
Vardas44          Pavarde44                       6.36            6.20
Vardas80          Pavarde80                       6.36            6.20
Vardas94          Pavarde94                       6.44            6.60
Vardas48          Pavarde48                       6.48            6.80
Vardas5           Pavarde5                        6.48            7.20
Vardas87          Pavarde87                       6.48            6.40
Vardas12          Pavarde12                       6.64            6.80
Vardas21          Pavarde21                       6.72            7.20
Vardas13          Pavarde13                       6.76            6.20
Vardas2           Pavarde2                        6.76            7.40
Vardas58          Pavarde58                       6.80            6.80
Vardas59          Pavarde59                       6.80            6.80
Vardas17          Pavarde17                       6.84            7.00
Vardas73          Pavarde73                       6.84            7.00
Vardas96          Pavarde96                       6.88            6.80
Vardas34          Pavarde34                       6.88            6.40
Vardas22          Pavarde22                       7.08            7.80
Vardas92          Pavarde92                       7.12            7.60
Vardas43          Pavarde43                       7.16            6.60
Vardas27          Pavarde27                       7.20            7.60
Vardas31          Pavarde31                       7.36            7.20
Vardas41          Pavarde41                       7.48            7.00
Vardas32          Pavarde32                       7.56            7.40
Vardas30          Pavarde30                       7.64            7.40
Vardas20          Pavarde20                       7.68            8.40
Vardas3           Pavarde3                        7.68            7.60
Vardas29          Pavarde29                       7.84            8.00
Vardas79          Pavarde79                       7.84            8.00
Vardas63          Pavarde63                       7.88            7.80
Vardas82          Pavarde82                       7.88            8.60
Vardas76          Pavarde76                       7.96            8.60
Vardas98          Pavarde98                       8.00            8.00
Vardas52          Pavarde52                       8.12            7.80
Vardas91          Pavarde91                       8.12            8.20
Vardas23          Pavarde23                       8.40            9.20
Vardas70          Pavarde70                       8.64            9.20
