Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas18          Pavarde18                       2.20            1.80
Vardas14          Pavarde14                       2.36            2.20
Vardas74          Pavarde74                       2.36            2.60
Vardas8           Pavarde8                        2.52            3.00
Vardas7           Pavarde7                        2.68            2.20
Vardas51          Pavarde51                       2.76            2.60
Vardas85          Pavarde85                       2.80            2.80
Vardas49          Pavarde49                       2.84            3.00
Vardas16          Pavarde16                       3.00            3.00
Vardas35          Pavarde35                       3.00            2.60
Vardas11          Pavarde11                       3.24            2.60
Vardas53          Pavarde53                       3.24            2.60
Vardas15          Pavarde15                       3.28            3.20
Vardas55          Pavarde55                       3.32            4.20
Vardas88          Pavarde88                       3.32            3.80
Vardas9           Pavarde9                        3.36            2.40
Vardas61          Pavarde61                       3.40            3.80
Vardas60          Pavarde60                       3.44            2.80
Vardas33          Pavarde33                       3.52            3.20
Vardas37          Pavarde37                       3.64            3.40
Vardas28          Pavarde28                       3.68            4.00
Vardas50          Pavarde50                       3.72            4.20
Vardas65          Pavarde65                       3.76            4.40
Vardas75          Pavarde75                       3.76            3.60
Vardas83          Pavarde83                       3.84            3.60
Vardas46          Pavarde46                       3.88            4.20
Vardas38          Pavarde38                       3.96            4.20
Vardas4           Pavarde4                        4.04            4.20
Vardas71          Pavarde71                       4.04            4.20
Vardas90          Pavarde90                       4.08            4.40
Vardas39          Pavarde39                       4.12            3.80
Vardas97          Pavarde97                       4.12            3.80
Vardas86          Pavarde86                       4.16            4.40
Vardas57          Pavarde57                       4.20            5.00
Vardas45          Pavarde45                       4.24            4.40
Vardas93          Pavarde93                       4.32            4.40
Vardas69          Pavarde69                       4.36            4.20
Vardas89          Pavarde89                       4.36            4.20
Vardas62          Pavarde62                       4.40            4.40
Vardas25          Pavarde25                       4.52            5.00
Vardas68          Pavarde68                       4.72            5.20
Vardas42          Pavarde42                       4.80            4.80
Vardas72          Pavarde72                       4.80            4.80
Vardas6           Pavarde6                        4.84            5.00
Vardas56          Pavarde56                       4.96            4.40
Vardas64          Pavarde64                       4.96            4.80
